sort,和名洋名,JIS慣用色名よみかた,JIS慣用色名,JIS系統色名,マンセル値,基本色彩語での分類,PCCS,WEBカラー値,R,G,B,C,M,Y,K,色彩検定
07_青,洋名,navy blue,ネービーブルー,暗い紫みの青,6PB 2.5/4,07_青,dk18,172540,23,37,64,70,50,0,70,3級
07_青,洋名,sky blue,スカイブルー,明るい青,9B 7.5/5.5,07_青,lt16+,8ED1E0,142,209,224,40,0,5,0,3級
07_青,洋名,turquoise blue,ターコイズブルー,明るい緑みの青,5B 6/8,07_青,b16,0AEBD,0,174,189,80,0,20,0,3級
07_青,洋名,ultramarine blue,ウルトラマリンブルー,こい紫みの青,7.5PB 3.5/11,07_青,v19,3D5394,61,83,148,82,70,0,0,3級
07_青,和名,あいいろ,藍色,暗い青,2PB 3/5,07_青,d18(dk18),134A63,19,74,99,70,20,0,60,3級
07_青,和名,あさぎいろ,浅葱色,あざやかな緑みの青,2.5B 5/8,07_青,b16,09C9E,0,156,158,82,0,30,11,3級
07_青,和名,かめのぞき,瓶覗,やわらかい緑みの青,4.5B 7/4,07_青,ltg16,91D0CD,145,208,205,40,0,15,0,2級
07_青,和名,ぐんじょういろ,群青色,こい紫みの青,7.5PB 3.5/11,07_青,v19,4B64A1,75,100,161,75,58,0,0,3級
07_青,和名,しんばしいろ,新橋色,明るい緑みの青,2.5B 6.5/5.5,07_青,lt16+,5BB3B5,91,179,181,57,0,20,8,2級
07_青,和名,そらいろ,空色,明るい青,9B 7.5/5.5,07_青,lt16+,8ED1E0,142,209,224,40,0,5,0,3級
07_青,和名,なんどいろ,納戸色,つよい緑みの青,4B 4/6,07_青,d16,0717A,0,113,122,82,0,22,40,2級
07_青,和名,はなだいろ,縹色,つよい青,3PB 4/7.5,07_青,d18,2B7396,43,115,150,70,20,0,30,2級
07_青,和名,るりいろ,瑠璃色,こい紫みの青,6PB 3.5/11,07_青,v19,285294,40,82,148,90,70,0,0,3級
